Entity,Code,Year,"Railways, passengers carried (passenger-km) (passenger-km)"
Algeria,DZA,2010,1045000000
Algeria,DZA,2011,1040000000
Algeria,DZA,2012,1040000000
Algeria,DZA,2013,1040000000
Algeria,DZA,2014,1186000000
Algeria,DZA,2015,1269000000
Argentina,ARG,1980,12705900000
Argentina,ARG,1981,11258028000
Argentina,ARG,1982,10147051000
Argentina,ARG,1983,10386963000
Argentina,ARG,1984,10469126000
Argentina,ARG,1985,10743979000
Argentina,ARG,1986,10288000000
Argentina,ARG,1987,12475000000
Argentina,ARG,1989,10624296000
Argentina,ARG,1990,10641924000
Argentina,ARG,1991,10641000000
Argentina,ARG,2005,6979000000
Argentina,ARG,2011,8588000000
Argentina,ARG,2012,8588000000
Argentina,ARG,2013,8588000000
Argentina,ARG,2014,8588000000
Argentina,ARG,2015,6692000000
Argentina,ARG,2016,7632000000
Armenia,ARM,1985,490000000
Armenia,ARM,1988,417000000
Armenia,ARM,1989,380000000
Armenia,ARM,1990,315500000
Armenia,ARM,1991,319800000
Armenia,ARM,1992,446000000
Armenia,ARM,1993,435200000
Armenia,ARM,1994,353100000
Armenia,ARM,1995,165000000
Armenia,ARM,1996,84000000
Armenia,ARM,1997,84200000
Armenia,ARM,1998,52400000
Armenia,ARM,1999,46385600
Armenia,ARM,2000,46826000
Armenia,ARM,2001,48400000
Armenia,ARM,2002,48400000
Armenia,ARM,2003,41153000
Armenia,ARM,2004,30021000
Armenia,ARM,2005,30000000
Armenia,ARM,2008,27000000
Armenia,ARM,2010,50000000
Armenia,ARM,2011,50000000
Armenia,ARM,2012,50000000
Armenia,ARM,2013,50000000
Armenia,ARM,2014,51900000
Armenia,ARM,2015,44300000
Armenia,ARM,2016,49700000
Australia,AUS,1997,1093000000
Australia,AUS,1999,1155000000
Australia,AUS,2000,1265000000
Australia,AUS,2001,1497000000
Australia,AUS,2002,1379000000
Australia,AUS,2003,1347000000
Australia,AUS,2005,1290000000
Australia,AUS,2006,1309000000
Australia,AUS,2007,1309000000
Australia,AUS,2008,1526000000
Australia,AUS,2009,1546000000
Australia,AUS,2010,1500000000
Austria,AUT,1980,7380000000
Austria,AUT,1981,7043000000
Austria,AUT,1982,7217000000
Austria,AUT,1983,7023000000
Austria,AUT,1984,7004000000
Austria,AUT,1985,7290000000
Austria,AUT,1986,7332000000
Austria,AUT,1987,7363000000
Austria,AUT,1988,7783000000
Austria,AUT,1989,8444655000.000001
Austria,AUT,1990,8575000000
Austria,AUT,1991,9208000000
Austria,AUT,1992,9561000000
Austria,AUT,1993,9342000000
Austria,AUT,1994,9202000000
Austria,AUT,1995,9628000000
Austria,AUT,1996,9689000000
Austria,AUT,1997,8140000000
Austria,AUT,1998,7971000000
Austria,AUT,1999,7899000000
Austria,AUT,2000,8318000000
Austria,AUT,2001,8240000000
Austria,AUT,2002,8300000000
Austria,AUT,2003,8150000000
Austria,AUT,2004,8259000000
Austria,AUT,2005,8586000000
Austria,AUT,2006,8766000000
Austria,AUT,2007,9051000000
Austria,AUT,2008,10275000000
Austria,AUT,2009,10210000000
Austria,AUT,2010,10306000000
Austria,AUT,2011,10421000000
Austria,AUT,2012,10353000000
Austria,AUT,2013,11298800000
Austria,AUT,2014,11600800000
Austria,AUT,2015,11683890000
Austria,AUT,2016,11270980000
Azerbaijan,AZE,1995,791000000
Azerbaijan,AZE,2000,493000000
Azerbaijan,AZE,2001,537000000
Azerbaijan,AZE,2002,584400000
Azerbaijan,AZE,2003,654300000
Azerbaijan,AZE,2004,654000000
Azerbaijan,AZE,2005,789000000
Azerbaijan,AZE,2006,789000000
Azerbaijan,AZE,2007,1109000000
Azerbaijan,AZE,2008,1047000000
Azerbaijan,AZE,2009,1025000000
Azerbaijan,AZE,2010,917000000
Azerbaijan,AZE,2011,660000000
Azerbaijan,AZE,2012,591000000
Azerbaijan,AZE,2013,591300000
Azerbaijan,AZE,2014,612000000
Azerbaijan,AZE,2015,494700000
Azerbaijan,AZE,2016,519130000
Bangladesh,BGD,1980,5197468000
Bangladesh,BGD,1981,5365593000
Bangladesh,BGD,1982,6427128000
Bangladesh,BGD,1983,6283508000
Bangladesh,BGD,1984,6031352000
Bangladesh,BGD,1985,6005263000
Bangladesh,BGD,1986,6027205000
Bangladesh,BGD,1987,5052182000
Bangladesh,BGD,1988,4338314000
Bangladesh,BGD,1989,5069567000
Bangladesh,BGD,1990,4586855000
Bangladesh,BGD,1991,5347775000
Bangladesh,BGD,1992,5111882000
Bangladesh,BGD,1993,4570076000
Bangladesh,BGD,1994,4037208000
Bangladesh,BGD,1995,3333245000
Bangladesh,BGD,1996,3753614000
Bangladesh,BGD,1997,3855499000
Bangladesh,BGD,1998,3678000000
Bangladesh,BGD,1999,3941000000
Bangladesh,BGD,2000,3941000000
Bangladesh,BGD,2001,4209000000
Bangladesh,BGD,2002,3971000000
Bangladesh,BGD,2003,4024000000
Bangladesh,BGD,2004,4341000000
Bangladesh,BGD,2005,4340000000
Bangladesh,BGD,2006,4164000000
Bangladesh,BGD,2007,4164000000
Bangladesh,BGD,2008,5609000000
Bangladesh,BGD,2009,5609000000
Bangladesh,BGD,2010,7305000000
Bangladesh,BGD,2011,7305000000
Bangladesh,BGD,2012,7305000000
Bangladesh,BGD,2013,7305000000
Bangladesh,BGD,2014,7305000000
Belarus,BLR,1980,10922000000
Belarus,BLR,1981,10830000000
Belarus,BLR,1982,11508000000
Belarus,BLR,1983,12878000000
Belarus,BLR,1984,13154000000
Belarus,BLR,1985,13729000000
Belarus,BLR,1986,14199000000
Belarus,BLR,1987,14965000000
Belarus,BLR,1988,15989000000
Belarus,BLR,1989,16524000000
Belarus,BLR,1990,16852000000
Belarus,BLR,1991,15795000000
Belarus,BLR,1992,18017000000
Belarus,BLR,1993,19500000000
Belarus,BLR,1994,16063000000
Belarus,BLR,1995,12505000000
Belarus,BLR,1996,11857000000
Belarus,BLR,1997,12909000000
Belarus,BLR,1998,13268000000
Belarus,BLR,1999,16874000000
Belarus,BLR,2000,17722000000
Belarus,BLR,2001,15264000000
Belarus,BLR,2002,14349000000
Belarus,BLR,2003,13308000000
Belarus,BLR,2004,13893000000
Belarus,BLR,2006,9968000000
Belarus,BLR,2007,9366000000
Belarus,BLR,2008,8188000000
Belarus,BLR,2009,7401000000
Belarus,BLR,2010,7578000000
Belarus,BLR,2011,7941000000
Belarus,BLR,2012,8977000000
Belarus,BLR,2013,8998000000
Belarus,BLR,2014,7796000000
Belarus,BLR,2015,7117000000
Belarus,BLR,2016,6428000000
Belgium,BEL,1980,6963000000
Belgium,BEL,1981,7078100000
Belgium,BEL,1982,6878900000
Belgium,BEL,1983,6631000000
Belgium,BEL,1984,6444200000
Belgium,BEL,1985,6572000000
Belgium,BEL,1986,6069000000
Belgium,BEL,1987,6270000000
Belgium,BEL,1988,6348000000
Belgium,BEL,1989,6400000000
Belgium,BEL,1990,6539000000
Belgium,BEL,1991,6771000000
Belgium,BEL,1992,6798000000
Belgium,BEL,1993,6694000000
Belgium,BEL,1994,6638000000
Belgium,BEL,1995,6757000000
Belgium,BEL,1996,6788000000
Belgium,BEL,1997,6981000000
Belgium,BEL,1998,7971000000
Belgium,BEL,1999,7354000000
Belgium,BEL,2000,7755000000
Belgium,BEL,2001,8038000000
Belgium,BEL,2002,8260000000
Belgium,BEL,2003,8265000000
Belgium,BEL,2004,8676000000
Belgium,BEL,2005,9150000000
Belgium,BEL,2006,9607000000
Belgium,BEL,2007,9932000000
Belgium,BEL,2008,10403000000
Belgium,BEL,2009,10493000000
Belgium,BEL,2010,10493000000
Belgium,BEL,2011,10848000000
Belgium,BEL,2012,10848000000
Belgium,BEL,2013,10887000000
Belgium,BEL,2014,10975000000
Belgium,BEL,2015,10333000000
Bolivia,BOL,2005,286000000
Bolivia,BOL,2008,313000000
Bolivia,BOL,2009,313000000
Bosnia and Herzegovina,BIH,1985,1644000000
Bosnia and Herzegovina,BIH,1986,1646000000
Bosnia and Herzegovina,BIH,1987,1568000000
Bosnia and Herzegovina,BIH,1988,1459000000
Bosnia and Herzegovina,BIH,1989,1433000000
Bosnia and Herzegovina,BIH,1990,1382000000
Bosnia and Herzegovina,BIH,1991,637000000
Bosnia and Herzegovina,BIH,1992,116000000
Bosnia and Herzegovina,BIH,1993,28000000
Bosnia and Herzegovina,BIH,1994,63000000
Bosnia and Herzegovina,BIH,1995,63000000
Bosnia and Herzegovina,BIH,1996,63000000
Bosnia and Herzegovina,BIH,1997,40000000
Bosnia and Herzegovina,BIH,1998,56000000
Bosnia and Herzegovina,BIH,1999,51000000
Bosnia and Herzegovina,BIH,2000,47000000
Bosnia and Herzegovina,BIH,2001,53000000
Bosnia and Herzegovina,BIH,2002,53000000
Bosnia and Herzegovina,BIH,2003,55000000
Bosnia and Herzegovina,BIH,2004,53000000
Bosnia and Herzegovina,BIH,2005,366000000
Bosnia and Herzegovina,BIH,2006,66000000
Bosnia and Herzegovina,BIH,2007,68000000
Bosnia and Herzegovina,BIH,2008,78000000
Bosnia and Herzegovina,BIH,2009,61000000
Bosnia and Herzegovina,BIH,2010,59000000
Bosnia and Herzegovina,BIH,2011,54000000
Bosnia and Herzegovina,BIH,2012,55000000
Bosnia and Herzegovina,BIH,2013,40030000
Bosnia and Herzegovina,BIH,2014,34290000
Bosnia and Herzegovina,BIH,2015,33470000
Bosnia and Herzegovina,BIH,2016,24080000
Botswana,BWA,2006,94000000
Botswana,BWA,2008,94000000
Brazil,BRA,1980,2407000000
Brazil,BRA,1981,2560000000
Brazil,BRA,1982,2373000000
Brazil,BRA,1983,2327000000
Brazil,BRA,1984,2572000000
Brazil,BRA,1985,2532000000
Brazil,BRA,1986,2941000000
Brazil,BRA,1987,2804000000
Brazil,BRA,1988,2462000000
Brazil,BRA,1989,2564000000
Brazil,BRA,1990,2740000000
Brazil,BRA,1991,2521000000
Brazil,BRA,1992,2098199999.9999998
Brazil,BRA,1993,1108800047
Brazil,BRA,1994,1138343960
Brazil,BRA,2013,15191000000
Brazil,BRA,2014,15901000000
Brazil,BRA,2015,15877000000
Brazil,BRA,2016,15648000000
Bulgaria,BGR,1980,7055000000
Bulgaria,BGR,1981,6962000000
Bulgaria,BGR,1982,7092000000
Bulgaria,BGR,1983,7255000000
Bulgaria,BGR,1984,7538000000
Bulgaria,BGR,1985,7785000000
Bulgaria,BGR,1986,8004000000
Bulgaria,BGR,1987,8075000000
Bulgaria,BGR,1988,8143000000
Bulgaria,BGR,1989,7601000000
Bulgaria,BGR,1990,7793000000
Bulgaria,BGR,1991,4866400000
Bulgaria,BGR,1992,5393000000
Bulgaria,BGR,1993,5837000000
Bulgaria,BGR,1994,5059000000
Bulgaria,BGR,1995,4693000000
Bulgaria,BGR,1996,5085000000
Bulgaria,BGR,1997,5886000000
Bulgaria,BGR,1998,4740000000
Bulgaria,BGR,1999,3819000000
Bulgaria,BGR,2000,3472000000
Bulgaria,BGR,2001,2990000000
Bulgaria,BGR,2002,2598000000
Bulgaria,BGR,2003,2517000000
Bulgaria,BGR,2004,2628000000
Bulgaria,BGR,2005,2389000000
Bulgaria,BGR,2006,2422000000
Bulgaria,BGR,2007,2424000000
Bulgaria,BGR,2008,2335000000
Bulgaria,BGR,2009,2144000000
Bulgaria,BGR,2010,2100000000
Bulgaria,BGR,2011,2068000000
Bulgaria,BGR,2012,1876000000
Bulgaria,BGR,2013,1825920000
Bulgaria,BGR,2014,1702250000
Bulgaria,BGR,2015,1552190000
Bulgaria,BGR,2016,1458000000
Cambodia,KHM,1981,174000000
Cambodia,KHM,1982,44000000
Cambodia,KHM,1983,38000000
Cambodia,KHM,1984,55000000
Cambodia,KHM,1985,63000000
Cambodia,KHM,1986,72000000
Cambodia,KHM,1987,61000000
Cambodia,KHM,1988,79000000
Cambodia,KHM,1989,65000000
Cambodia,KHM,1990,34000000
Cambodia,KHM,1991,41900000
Cambodia,KHM,1992,112600000
Cambodia,KHM,1993,80200000
Cambodia,KHM,1994,38700000
Cambodia,KHM,1995,38600000
Cambodia,KHM,1996,42000000
Cambodia,KHM,1997,49000000
Cambodia,KHM,1998,43000000
Cambodia,KHM,1999,50200000
Cambodia,KHM,2000,45400000
Cambodia,KHM,2001,33000000
Cambodia,KHM,2003,45000000
Cambodia,KHM,2004,45000000
Cambodia,KHM,2005,45000000
Cameroon,CMR,1980,244000000
Cameroon,CMR,1981,234000000
Cameroon,CMR,1982,322000000
Cameroon,CMR,1983,390000000
Cameroon,CMR,1984,463000000
Cameroon,CMR,1985,504000000
Cameroon,CMR,1986,412100000
Cameroon,CMR,1987,443700000
Cameroon,CMR,1988,469600000
Cameroon,CMR,1989,464400000
Cameroon,CMR,1990,456600000
Cameroon,CMR,1991,471353000
Cameroon,CMR,1992,515000000
Cameroon,CMR,1993,399000000
Cameroon,CMR,1994,334000000
Cameroon,CMR,1995,317000000
Cameroon,CMR,1996,301000000
Cameroon,CMR,1997,306000000
Cameroon,CMR,1999,249000000
Cameroon,CMR,2000,327000000
Cameroon,CMR,2001,303000000
Cameroon,CMR,2002,308000000
Cameroon,CMR,2003,319000000
Cameroon,CMR,2004,318000000
Cameroon,CMR,2005,324000000
Cameroon,CMR,2006,362000000
Cameroon,CMR,2007,370000000
Cameroon,CMR,2008,379000000
Cameroon,CMR,2009,377000000
Cameroon,CMR,2010,377000000
Cameroon,CMR,2011,495000000
Cameroon,CMR,2012,495000000
Cameroon,CMR,2013,494747000
Cameroon,CMR,2014,494000000
Canada,CAN,2005,2790000000
Canada,CAN,2006,2885000000
Canada,CAN,2007,2858000000
Canada,CAN,2008,3056000000
Canada,CAN,2009,2901000000
Canada,CAN,2010,2875000000
Canada,CAN,2011,2886000000
Canada,CAN,2012,2781000000
Canada,CAN,2013,1339000000
Canada,CAN,2014,1300000000
Canada,CAN,2015,1322400000
Central Europe and the Baltics,,1980,4774000000
Central Europe and the Baltics,,1981,4880000000
Central Europe and the Baltics,,1982,4978000000
Central Europe and the Baltics,,1983,5149000000
Central Europe and the Baltics,,1984,5310000000
Central Europe and the Baltics,,1985,5214000000
Central Europe and the Baltics,,1986,5573000000
Central Europe and the Baltics,,1987,5679000000
Central Europe and the Baltics,,1988,5761000000
Central Europe and the Baltics,,1989,5449000000
Central Europe and the Baltics,,1990,5366000000
Central Europe and the Baltics,,1991,3930000000
Central Europe and the Baltics,,1992,3656000000
Central Europe and the Baltics,,1993,4569000000
Central Europe and the Baltics,,1994,4548000000
Central Europe and the Baltics,,1995,4202000000
Central Europe and the Baltics,,1996,3769000000
Central Europe and the Baltics,,1997,3095000000
Central Europe and the Baltics,,1998,3116000000
Central Europe and the Baltics,,1999,2968000000
Central Europe and the Baltics,,2000,2870000000
Central Europe and the Baltics,,2001,2805000000
Central Europe and the Baltics,,2002,2598000000
Central Europe and the Baltics,,2003,2316000000
Central Europe and the Baltics,,2004,2227000000
Central Europe and the Baltics,,2005,2166000000
Central Europe and the Baltics,,2006,2194000000
Central Europe and the Baltics,,2007,2148000000
Central Europe and the Baltics,,2008,2279000000
Central Europe and the Baltics,,2009,2195500000
Central Europe and the Baltics,,2010,2100000000
Central Europe and the Baltics,,2011,2068000000
Central Europe and the Baltics,,2012,1490000000
Central Europe and the Baltics,,2013,1825920000
Central Europe and the Baltics,,2014,1702250000
Central Europe and the Baltics,,2015,2316720000
Central Europe and the Baltics,,2016,2325860000
Chile,CHL,1980,1421000000
Chile,CHL,1981,1558000000
Chile,CHL,1982,1503000000
Chile,CHL,1983,1572000000
Chile,CHL,1984,1422000000
Chile,CHL,1985,1519000000
Chile,CHL,1986,1272000000
Chile,CHL,1987,1136975000
Chile,CHL,1988,1010585000
Chile,CHL,1989,1055755000.0000001
Chile,CHL,1990,1075593000
Chile,CHL,1991,1122939000
Chile,CHL,1993,936000000
Chile,CHL,1994,815000000
Chile,CHL,1995,689000000
Chile,CHL,2000,737000000
Chile,CHL,2001,871000000
Chile,CHL,2002,770000000
Chile,CHL,2003,829000000
Chile,CHL,2004,820000000
Chile,CHL,2006,843000000
Chile,CHL,2007,732000000
Chile,CHL,2008,759000000
Chile,CHL,2009,840000000
Chile,CHL,2010,840000000
Chile,CHL,2011,840000000
Chile,CHL,2012,840000000
Chile,CHL,2013,839786000
Chile,CHL,2014,840000000
China,CHN,1980,138037000000
China,CHN,1981,146987000000
China,CHN,1982,157200000000
China,CHN,1983,177339000000
China,CHN,1984,204315000000
China,CHN,1985,241251000000
China,CHN,1986,258311000000
China,CHN,1987,284300000000
China,CHN,1988,325731000000
China,CHN,1989,303400000000
China,CHN,1990,263530000000
China,CHN,1991,282484000000
China,CHN,1992,314829000000
China,CHN,1993,347938000000
China,CHN,1994,363281000000
China,CHN,1995,354261000000
China,CHN,1996,354400000000
China,CHN,1997,332200000000
China,CHN,1998,343000000000
China,CHN,1999,404627000000
China,CHN,2000,441468000000
China,CHN,2001,463660000000
China,CHN,2002,480310000000
China,CHN,2003,456000000000
China,CHN,2004,551196000000
China,CHN,2005,583320000000
China,CHN,2006,635327000000
China,CHN,2007,689618000000
China,CHN,2008,772834000000
China,CHN,2009,787890000000
China,CHN,2010,791158000000
China,CHN,2011,815699000000
China,CHN,2012,795639000000
China,CHN,2013,794062000000
China,CHN,2014,807065000000
China,CHN,2015,723006000000
China,CHN,2016,695955000000
Colombia,COL,1980,315200000
Colombia,COL,1981,235900000
Colombia,COL,1982,157600000
Colombia,COL,1983,175100000
Colombia,COL,1984,192800000
Colombia,COL,1985,222800000
Colombia,COL,1986,182000000
Colombia,COL,1987,177000000
Colombia,COL,1990,141000000
Congo,COG,1980,337000000
Congo,COG,1981,358000000
Congo,COG,1982,390000000
Congo,COG,1983,381000000
Congo,COG,1984,408000000
Congo,COG,1985,436000000
Congo,COG,1986,450000000
Congo,COG,1987,400000000
Congo,COG,1988,418000000
Congo,COG,1989,434000000
Congo,COG,1990,410000000
Congo,COG,1991,435000000
Congo,COG,1992,421000000
Congo,COG,1993,312000000
Congo,COG,1994,227000000
Congo,COG,1995,302000000
Congo,COG,1996,360000000
Congo,COG,1997,234497000
Congo,COG,1998,242000000
Congo,COG,2000,83900000
Congo,COG,2001,170900000
Congo,COG,2002,76000000
Congo,COG,2003,59000000
Congo,COG,2004,135000000
Congo,COG,2005,167500000
Congo,COG,2006,211000000
Congo,COG,2008,211000000
Congo,COG,2011,207000000
Congo,COG,2012,207000000
Congo,COG,2013,207000000
Costa Rica,CRI,1980,201000000
Costa Rica,CRI,1981,181200000
Costa Rica,CRI,1982,239700000
Costa Rica,CRI,1983,250900000
Costa Rica,CRI,1984,200100000
Costa Rica,CRI,1985,196600000
Costa Rica,CRI,1987,72000000
Cote d'Ivoire,CIV,1980,1252000000
Cote d'Ivoire,CIV,1981,1074000000
Cote d'Ivoire,CIV,1982,1074000000
Cote d'Ivoire,CIV,1983,1074000000
Cote d'Ivoire,CIV,1984,836000000
Cote d'Ivoire,CIV,1985,819000000
Cote d'Ivoire,CIV,1986,681000000
Cote d'Ivoire,CIV,1987,490000000
Cote d'Ivoire,CIV,1990,205000000
Cote d'Ivoire,CIV,1991,199000000
Cote d'Ivoire,CIV,1992,189000000
Cote d'Ivoire,CIV,1993,173000000
Cote d'Ivoire,CIV,1994,186000000
Cote d'Ivoire,CIV,1995,161000000
Cote d'Ivoire,CIV,1996,157512000
Cote d'Ivoire,CIV,1997,155000000
Cote d'Ivoire,CIV,1998,119000000
Cote d'Ivoire,CIV,1999,93100000
Cote d'Ivoire,CIV,2000,125910000
Cote d'Ivoire,CIV,2001,182000000
Cote d'Ivoire,CIV,2002,148000000
Cote d'Ivoire,CIV,2003,10000000
Croatia,HRV,1980,3619000000
Croatia,HRV,1981,3682000000
Croatia,HRV,1982,3868000000
Croatia,HRV,1983,3896000000
Croatia,HRV,1984,4003000000
Croatia,HRV,1985,4063000000
Croatia,HRV,1986,4086000000
Croatia,HRV,1987,3917000000
Croatia,HRV,1988,3833000000
Croatia,HRV,1989,3664000000
Croatia,HRV,1990,3429000000
Croatia,HRV,1991,1427000000
Croatia,HRV,1992,981000000
Croatia,HRV,1993,951000000
Croatia,HRV,1994,962000000
Croatia,HRV,1995,943000000
Croatia,HRV,1996,1029000000
Croatia,HRV,1997,981000000
Croatia,HRV,1998,1092000000
Croatia,HRV,1999,1137000000
Croatia,HRV,2000,1252000000
Croatia,HRV,2001,1241000000
Croatia,HRV,2002,1195000000
Croatia,HRV,2003,1163000000
Croatia,HRV,2004,1213000000
Croatia,HRV,2005,1266000000
Croatia,HRV,2006,1362000000
Croatia,HRV,2007,1611000000
Croatia,HRV,2008,1810000000
Croatia,HRV,2009,1835000000
Croatia,HRV,2010,1742000000
Croatia,HRV,2011,1486000000
Croatia,HRV,2012,1104000000
Croatia,HRV,2013,858000000
Croatia,HRV,2014,927000000
Croatia,HRV,2015,951000000
Croatia,HRV,2016,836000000
Cuba,CUB,1980,1571000000
Cuba,CUB,1984,2359600000
Cuba,CUB,1986,2180000000
Cuba,CUB,1989,2891000000
Cuba,CUB,1996,1487600000
Cuba,CUB,1998,1451612903.22581
Cuba,CUB,2008,1285000000
Cuba,CUB,2009,1285000000
Czech Republic,CZE,1993,8548000000
Czech Republic,CZE,1994,8481000000
Czech Republic,CZE,1995,8023000000
Czech Republic,CZE,1996,8110000000
Czech Republic,CZE,1997,7710000000
Czech Republic,CZE,1998,7001000000
Czech Republic,CZE,1999,6929000000
Czech Republic,CZE,2000,7266000000
Czech Republic,CZE,2001,7262000000
Czech Republic,CZE,2002,6562000000
Czech Republic,CZE,2003,6483000000
Czech Republic,CZE,2004,6533000000
Czech Republic,CZE,2005,6631000000
Czech Republic,CZE,2006,6887000000
Czech Republic,CZE,2007,6855000000
Czech Republic,CZE,2008,6759000000
Czech Republic,CZE,2009,6462000000
Czech Republic,CZE,2010,6553000000
Czech Republic,CZE,2011,6635000000
Czech Republic,CZE,2012,6907000000
Czech Republic,CZE,2013,6924000000
Czech Republic,CZE,2014,6952000000
Czech Republic,CZE,2015,7170000000
Czech Republic,CZE,2016,7380000000
Democratic Republic of Congo,COD,1980,429400000
Democratic Republic of Congo,COD,1981,613200000
Democratic Republic of Congo,COD,1982,405600000
Democratic Republic of Congo,COD,1983,372600000
Democratic Republic of Congo,COD,1984,345600000
Democratic Republic of Congo,COD,1985,292000000
Democratic Republic of Congo,COD,1986,320000000
Democratic Republic of Congo,COD,1987,359000000
Democratic Republic of Congo,COD,1988,389000000
Democratic Republic of Congo,COD,1990,260000000
Democratic Republic of Congo,COD,1994,29000000
Democratic Republic of Congo,COD,1995,29000000
Democratic Republic of Congo,COD,1998,71000000
Democratic Republic of Congo,COD,1999,73000000
Democratic Republic of Congo,COD,2000,94000000
Democratic Republic of Congo,COD,2001,111000000
Democratic Republic of Congo,COD,2002,80000000
Democratic Republic of Congo,COD,2003,71000000
Democratic Republic of Congo,COD,2004,70000000
Democratic Republic of Congo,COD,2005,140000000
Democratic Republic of Congo,COD,2006,86000000
Democratic Republic of Congo,COD,2007,79000000
Democratic Republic of Congo,COD,2008,95000000
Democratic Republic of Congo,COD,2009,35000000
Democratic Republic of Congo,COD,2010,37000000
Democratic Republic of Congo,COD,2011,25000000
Democratic Republic of Congo,COD,2012,22000000
Democratic Republic of Congo,COD,2013,30000000
Democratic Republic of Congo,COD,2014,20000000
Democratic Republic of Congo,COD,2015,16700000
Democratic Republic of Congo,COD,2016,28400000
Denmark,DNK,1980,3803000000
Denmark,DNK,1981,4207000000
Denmark,DNK,1982,4528000000
Denmark,DNK,1983,4456000000
Denmark,DNK,1984,4420000000
Denmark,DNK,1985,4546000000
Denmark,DNK,1986,4707000000
Denmark,DNK,1987,4782000000
Denmark,DNK,1988,4797000000
Denmark,DNK,1989,4649000000
Denmark,DNK,1990,4855000000
Denmark,DNK,1991,4797000000
Denmark,DNK,1992,4600000000
Denmark,DNK,1993,4596000000
Denmark,DNK,1994,4836000000
Denmark,DNK,1995,4784000000
Denmark,DNK,1996,4719000000
Denmark,DNK,1997,4980000000
Denmark,DNK,1998,5382000000
Denmark,DNK,1999,5113000000
Denmark,DNK,2000,5381000000
Denmark,DNK,2001,5559000000
Denmark,DNK,2002,5528000000
Denmark,DNK,2003,5397000000
Denmark,DNK,2004,5390000000
Denmark,DNK,2005,5459000000
Denmark,DNK,2006,5652000000
Denmark,DNK,2007,5724000000
Denmark,DNK,2008,5843000000
Denmark,DNK,2009,7312000000
Denmark,DNK,2010,7405000000
Denmark,DNK,2011,10102000000
Denmark,DNK,2012,7644000000
Denmark,DNK,2013,6013000000
Denmark,DNK,2014,6008000000
Denmark,DNK,2015,6009000000
Denmark,DNK,2016,5884000000
Djibouti,DJI,2005,82000000
East Asia & Pacific,,1985,4968758064.5161295
East Asia & Pacific,,1986,4195600000.0000005
East Asia & Pacific,,1987,4854100000
East Asia & Pacific,,1988,4172333870.96774
East Asia & Pacific,,1989,2693500000
East Asia & Pacific,,1990,3701600000
East Asia & Pacific,,1991,2893850000
East Asia & Pacific,,1992,6104846000
East Asia & Pacific,,1993,1775966655
East Asia & Pacific,,1994,7610000000
East Asia & Pacific,,1995,7554100000
East Asia & Pacific,,1996,7269850000
East Asia & Pacific,,1997,1988000000
East Asia & Pacific,,1998,6744500000
East Asia & Pacific,,2000,2256000000
East Asia & Pacific,,2005,9195000000
East Asia & Pacific,,2006,6764000000
East Asia & Pacific,,2008,11190500000
East Asia & Pacific (IDA & IBRD),,1980,5193850000
East Asia & Pacific (IDA & IBRD),,1981,4617177419.35484
East Asia & Pacific (IDA & IBRD),,1982,4810483870.96774
East Asia & Pacific (IDA & IBRD),,1983,5038387096.7741995
East Asia & Pacific (IDA & IBRD),,1984,4891290322.580641
East Asia & Pacific (IDA & IBRD),,1985,3476608064.51613
East Asia & Pacific (IDA & IBRD),,1986,3374838709.67742
